warehouse_id,product_id,stock_level,reorder_level,avg_daily_sales,days_until_reorder
W000_000,PID1000,29.0,46,17,1.7
W000_001,PID1001,153.0,66,92,1.7
W000_002,PID1002,78.0,78,60,1.3
W000_004,PID1004,173.0,41,100,1.7
W000_005,PID1005,150.0,60,86,1.7
W000_006,PID1006,51.0,87,32,1.6
W000_007,PID1007,103.0,26,65,1.6
W000_008,PID1008,140.0,45,81,1.7
W000_009,PID1009,97.0,74,54,1.8
W001_000,PID1000,22.0,39,17,1.3
W001_002,PID1002,19.0,56,10,1.9
W001_003,PID1003,31.0,78,21,1.5
W001_004,PID1004,119.0,96,89,1.3
W001_005,PID1005,117.0,66,69,1.7
W001_006,PID1006,18.0,39,10,1.8
W001_007,PID1007,120.0,27,78,1.5
W001_008,PID1008,101.0,32,70,1.4
W001_009,PID1009,26.0,30,14,1.9
W002_000,PID1000,61.0,21,32,1.9
W002_001,PID1001,62.0,21,50,1.2
W002_003,PID1003,45.0,73,30,1.5
W002_004,PID1004,58.0,94,41,1.4
W002_005,PID1005,119.0,99,87,1.4
W002_006,PID1006,113.0,27,93,1.2
W002_007,PID1007,114.0,30,60,1.9
W002_008,PID1008,51.0,79,41,1.2
W002_009,PID1009,123.0,28,70,1.8
W003_000,PID1000,149.0,30,92,1.6
W003_001,PID1001,139.0,69,93,1.5
W003_003,PID1003,121.0,20,85,1.4
W003_005,PID1005,104.0,32,82,1.3
W003_006,PID1006,80.0,98,59,1.4
W003_008,PID1008,105.0,21,87,1.2
W003_009,PID1009,158.0,33,81,2.0
W004_000,PID1000,147.0,25,100,1.5
W004_001,PID1001,24.0,99,20,1.2
W004_002,PID1002,158.0,59,82,1.9
W004_003,PID1003,23.0,75,13,1.8
W004_004,PID1004,107.0,79,64,1.7
W004_006,PID1006,99.0,45,64,1.5
W004_007,PID1007,104.0,65,67,1.6
W004_008,PID1008,123.0,100,88,1.4
W004_009,PID1009,119.0,96,93,1.3
W005_000,PID1000,90.0,72,56,1.6
W005_002,PID1002,139.0,70,85,1.6
W005_004,PID1004,64.0,56,35,1.8
W005_005,PID1005,136.0,87,84,1.6
W005_006,PID1006,103.0,24,71,1.5
W005_007,PID1007,149.0,50,88,1.7
W005_008,PID1008,31.0,58,21,1.5
W005_009,PID1009,77.0,70,46,1.7
W006_000,PID1000,84.0,50,46,1.8
W006_001,PID1001,149.0,71,85,1.8
W006_003,PID1003,49.0,100,27,1.8
W006_004,PID1004,66.0,40,47,1.4
W006_005,PID1005,20.0,40,13,1.5
W006_007,PID1007,44.0,61,32,1.4
W006_008,PID1008,165.0,45,84,2.0
W006_009,PID1009,85.0,32,71,1.2
W007_002,PID1002,155.0,30,90,1.7
W007_003,PID1003,122.0,86,80,1.5
W007_004,PID1004,73.0,48,52,1.4
W007_005,PID1005,77.0,57,58,1.3
W007_006,PID1006,27.0,20,16,1.7
W007_008,PID1008,159.0,61,94,1.7
W008_000,PID1000,97.0,50,52,1.9
W008_001,PID1001,62.0,37,51,1.2
W008_002,PID1002,109.0,65,67,1.6
W008_003,PID1003,161.0,78,96,1.7
W008_004,PID1004,14.0,73,10,1.4
W008_005,PID1005,64.0,48,40,1.6
W008_006,PID1006,46.0,48,33,1.4
W009_001,PID1001,76.0,64,56,1.4
W009_002,PID1002,34.0,96,26,1.3
W009_003,PID1003,115.0,48,69,1.7
W009_004,PID1004,99.0,54,51,1.9
W009_005,PID1005,109.0,52,60,1.8
W009_006,PID1006,50.0,23,41,1.2
W009_007,PID1007,51.0,82,40,1.3
W009_008,PID1008,93.0,68,71,1.3
W009_009,PID1009,98.0,94,50,2.0
W010_002,PID1002,49.0,51,33,1.5
W010_003,PID1003,111.0,96,78,1.4
W010_006,PID1006,82.0,80,55,1.5
W010_007,PID1007,20.0,72,14,1.4
W010_008,PID1008,40.0,28,30,1.3
W010_009,PID1009,105.0,89,58,1.8
W011_000,PID1000,24.0,56,15,1.6
W011_001,PID1001,99.0,81,68,1.5
W011_002,PID1002,77.0,32,39,2.0
W011_003,PID1003,111.0,80,77,1.4
W011_004,PID1004,63.0,77,48,1.3
W011_005,PID1005,120.0,53,92,1.3
W011_006,PID1006,36.0,98,20,1.8
W011_007,PID1007,142.0,90,74,1.9
W011_009,PID1009,94.0,52,61,1.5
W012_001,PID1001,78.0,33,65,1.2
W012_002,PID1002,69.0,98,57,1.2
W012_003,PID1003,141.0,25,85,1.7
W012_004,PID1004,126.0,40,74,1.7
W012_005,PID1005,98.0,64,57,1.7
W012_006,PID1006,64.0,94,43,1.5
W012_008,PID1008,43.0,68,25,1.7
W013_001,PID1001,107.0,46,82,1.3
W013_002,PID1002,100.0,20,65,1.5
W013_004,PID1004,24.0,42,13,1.8
W013_007,PID1007,41.0,64,34,1.2
W013_008,PID1008,137.0,45,98,1.4
W013_009,PID1009,111.0,99,69,1.6
